time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.411,0.01358368,-0.3425483,-0.04367007,-0.3301978,-0.0839056,0.4323567,0.2010795,0.087183,-0.1612244,353.271,3.677511,0.1363923,0.1971748,-0.9731549,0.1417221,-0.901954,1.0913,1.581852,0.1156191,-0.3392228,-0.03708493,328.0708,13.22225,4.936425,-0.2833329,0.7804999,0.3549951,3.172034,-0.2464722,0.6764176,0.4275225,-0.4784947,-0.08900538,3.468861,354.007,347.4449,
12.899,0.03543128,-0.167978,-0.04047461,-0.445988,0.003586426,0.2592884,0.2022342,0.09109533,-0.1613941,353.6127,3.400321,0.4926205,0.1171716,-1.146289,0.2264505,-2.426441,1.11276,1.486874,0.1157458,-0.3553807,-0.03518514,332.4735,11.45295,5.389099,-0.3358011,1.056629,0.3859754,3.341892,-0.1881269,1.213278,0.423062,-0.4601816,-0.082642,0.2442677,353.1297,346.4118,
26.58,0.05621324,0.017312,-0.03025394,-0.4416428,0.06960159,-0.04688173,0.2040687,0.09657091,-0.16133,353.7572,3.084089,1.166216,0.05124423,-1.259788,0.2388413,-3.38238,0.8907364,1.466868,0.1147273,-0.3716959,-0.03357868,336.8633,10.37173,5.854464,-0.3264204,1.31479,0.4025692,3.411457,-0.5876185,1.515869,0.4185656,-0.4374347,-0.07719268,356.9147,353.5407,345.4179,
40.271,0.07877643,0.2094235,-0.02184507,-0.4081647,0.1288295,-0.05397851,0.2058236,0.1041117,-0.1616919,354.0652,2.968085,0.9061249,-0.03600744,-1.370606,0.2027462,-4.270732,0.7254186,1.492905,0.1125609,-0.3889337,-0.0336186,341.8659,9.285604,6.265775,-0.3203897,1.520867,0.3993614,3.170216,-0.598888,2.0475,0.414113,-0.4144113,-0.07181928,354.1554,353.5421,343.5382,
54.269,0.1052302,0.3746314,-0.02218611,-0.4065486,0.1084375,0.09073118,0.2078019,0.1130624,-0.1622458,354.4608,3.08131,0.5526243,-0.1040771,-1.439891,0.1341902,-4.874543,0.7640867,1.765724,0.109987,-0.405524,-0.03489592,347.0457,8.452666,5.787961,-0.3409429,1.672559,0.3685785,3.003784,-0.3709913,2.065665,0.4088686,-0.3903889,-0.06769408,351.7517,353.042,342.4719,
68.193,0.1313375,0.5074187,-0.02984506,-0.4204556,0.02331642,0.03687841,0.2102252,0.1225187,-0.1630781,354.8007,3.152191,0.8640728,-0.1586923,-1.466879,0.04297192,-5.149948,0.928615,2.158888,0.1073781,-0.4208841,-0.03789866,352.075,7.620757,4.521417,-0.3918601,1.788841,0.3133338,3.088961,-0.2959203,1.119482,0.4019842,-0.3641926,-0.06450845,349.4458,352.3615,343.9138,
82.048,0.1491669,0.6025543,-0.03940915,-0.3384057,0.007857205,-0.06208583,0.2125383,0.1318989,-0.1639304,354.8277,3.066013,1.080921,-0.2070855,-1.427116,-0.1163056,-4.981311,0.9314795,2.833749,0.1039822,-0.434037,-0.04472578,356.6077,7.385489,2.198956,-0.4489246,1.902925,0.2036731,3.646363,0.05148764,0.6238917,0.3957408,-0.3384641,-0.06537923,346.1373,350.5403,345.5283,
95.835,0.1590599,0.6535447,-0.05262727,-0.2584222,0.05202728,-0.09142689,0.2148781,0.1408918,-0.1651866,354.9018,2.894221,1.137206,-0.2412684,-1.348124,-0.2577447,-4.549539,0.6776972,3.193191,0.09929707,-0.4460361,-0.05182802,0.3144172,7.530865,0.05680567,-0.5280146,1.974726,0.08178852,4.259524,0.5167854,-0.08784036,0.38916,-0.3123035,-0.06478654,342.9209,347.4831,348.4656,
110.37,0.164319,0.668564,-0.06965201,-0.251858,0.146481,-0.02202495,0.2171527,0.149203,-0.1666629,355.1752,2.615248,0.9474728,-0.3335955,-1.220814,-0.3900382,-3.949443,0.8423005,3.292836,0.09200152,-0.4562193,-0.0598993,3.020816,6.730924,357.7923,-0.5398737,2.013483,-0.03854953,4.848878,0.6475185,-0.3967047,0.38513,-0.2868523,-0.06673739,339.2613,344.5965,351.6112,
123.639,0.1666731,0.651158,-0.08350814,-0.2861266,0.2547725,0.1032548,0.2195018,0.1570032,-0.1682003,355.5173,2.27793,0.6149226,-0.5008337,-1.061677,-0.4826551,-3.298395,1.613554,3.17024,0.0826657,-0.4647625,-0.06812175,4.827466,4.108009,355.4966,-0.4724994,2.00274,-0.143359,5.13491,0.599219,-0.2425958,0.3828774,-0.2633636,-0.06790547,335.4679,342.3122,354.1539,
137.555,0.1705047,0.6150631,-0.09462386,-0.2527806,0.3029043,0.1755413,0.2220748,0.1639234,-0.1698623,355.6019,2.05296,0.3930754,-0.6182646,-0.9874548,-0.5222468,-3.592728,1.788624,2.502524,0.0729133,-0.4741883,-0.07477915,8.143621,2.13158,355.1197,-0.3891269,1.949737,-0.1857203,4.928785,0.6342841,0.04896892,0.3815244,-0.2411152,-0.06906606,332.324,340.4405,355.8767,
151.419,0.1757424,0.5616392,-0.1029486,-0.06600119,0.27098,0.1714668,0.224709,0.1693804,-0.1714733,355.2081,1.983852,0.2868591,-0.7141007,-0.9563909,-0.5368753,-4.050643,1.975271,1.723335,0.06216113,-0.4839284,-0.08065678,12.07364,0.1941368,355.654,-0.2729089,1.854762,-0.1952716,4.329412,0.8347363,0.4575292,0.3823391,-0.2210489,-0.07008645,329.7926,339.0745,356.2675,
165.336,0.1801394,0.4700178,-0.1105062,0.3685683,0.1940225,0.1174692,0.2271744,0.171959,-0.1729844,354.0075,2.013062,0.2133687,-0.7594953,-0.9078393,-0.5444015,-3.956336,2.087586,1.508888,0.05422614,-0.4922689,-0.08752377,15.14184,358.0918,355.1473,-0.1516722,1.739174,-0.1799138,3.659566,0.8580032,0.811851,0.3834639,-0.2025791,-0.06992938,327.6143,338.4966,356.1319,
179.214,0.1789115,0.3497721,-0.1154471,0.7934227,0.1395762,0.05382875,0.2293817,0.172168,-0.1745677,352.7021,1.981068,0.1747193,-0.7088051,-0.8270717,-0.5495398,-3.340405,1.488268,1.373361,0.04744554,-0.4996684,-0.09483002,16.78792,357.6353,354.3226,-0.04903325,1.616152,-0.1698543,3.231547,0.524807,1.057683,0.3849467,-0.1858402,-0.0715317,325.4048,338.5926,356.5321,
193.278,0.1726848,0.2009632,-0.1231755,1.012937,0.1406359,-0.01914684,0.2315176,0.1699414,-0.1766546,351.7151,1.801911,0.246462,-0.640113,-0.7146431,-0.5313627,-2.251465,0.7903443,1.504473,0.04060643,-0.5064022,-0.1007522,16.68903,357.5898,352.7862,0.02711714,1.49096,-0.1936407,3.088003,0.1769854,1.258964,0.3865966,-0.1708551,-0.0744484,322.9202,338.7307,357.4493,
