time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.303,0.1812651,0.007838309,0.02427593,0.007254303,0.00392878,-0.1248954,0.2147776,-0.0005404353,0.04036379,353.8431,0.4418078,4.777364,0.08211999,0.08381262,0.03976098,-0.3974942,0.4344024,-0.3910623,0.03919051,-0.3289879,0.1832289,329.2678,340.0127,8.465348,0.1263135,0.1237463,-0.00453777,0.5809586,1.305502,-0.7780644,0.2947481,-0.3202233,0.2346202,327.3719,341.4614,354.6228,
12.832,0.169468,0.008388549,0.02009697,-0.0177849,0.01103547,-0.08541832,0.2168505,-0.0003741384,0.04046941,353.8784,0.4104002,4.786213,0.08688505,0.1298118,0.02198003,-0.0892344,-0.1159355,-0.2339024,0.04008511,-0.3258265,0.1826967,329.1507,340.5236,9.280117,0.1142131,0.1621729,-0.03769781,0.844637,0.9909693,-0.7877952,0.2970724,-0.3168439,0.2340078,326.8513,340.037,355.6609,
26.286,0.1585141,0.008966086,0.01578906,-0.03821352,0.01424194,-0.05811022,0.218729,-0.0003080368,0.04055905,353.9316,0.3893483,4.791389,0.08830251,0.1972998,-0.00899941,0.3839764,-0.6568375,-0.04149226,0.04072268,-0.3216298,0.1818589,328.5267,341.2694,10.5869,0.1382315,0.2100301,-0.05382796,0.9505848,0.3385997,-0.4277563,0.2997479,-0.3131754,0.2333784,326.0195,340.0599,356.6221,
40.197,0.146622,0.006950326,0.01037138,-0.06537972,0.01254766,-0.02764461,0.2203746,-0.0003659129,0.04053402,354.0391,0.3929946,4.764373,0.08232448,0.2493225,-0.02860942,0.7112845,-0.9107912,0.06296445,0.04120072,-0.317387,0.1813347,327.8833,341.7891,11.76812,0.1670801,0.2492228,-0.05656459,0.9705833,-0.1800673,-0.03652239,0.3022138,-0.3093506,0.2329083,325.1019,340.6615,357.3623,
53.803,0.1357272,0.002750727,0.004233109,-0.1050459,0.0003270215,-0.006067877,0.2219478,-0.0004863143,0.04033446,354.2112,0.4006492,4.739134,0.07033545,0.2881593,-0.03456652,0.8491327,-0.9506774,0.09565264,0.04155162,-0.3126271,0.1814935,327.3571,342.1049,12.70683,0.1880634,0.2832777,-0.0480309,0.8665103,-0.5101295,0.2611542,0.3046762,-0.3050758,0.2326305,324.3844,341.5479,357.7934,
67.771,0.1250146,-0.003458828,-0.00470097,-0.1486322,-0.01681688,-0.005313572,0.2235439,-0.0007237196,0.03995895,354.4002,0.426923,4.773698,0.0530632,0.3136117,-0.02786108,0.8232548,-0.8000304,0.05812787,0.04182537,-0.3082037,0.1812609,326.9918,342.1107,13.3392,0.1960613,0.3095275,-0.03431283,0.6693185,-0.5882393,0.432476,0.3069377,-0.3005135,0.2329089,323.957,342.372,357.8054,
81.74,0.1157662,-0.009400022,-0.01421561,-0.1651436,-0.04965401,-0.01835223,0.2249678,-0.001088798,0.03947234,354.536,0.5103024,4.836737,0.03376239,0.3288065,-0.01837559,0.7823572,-0.5234567,-0.01299791,0.04208142,-0.3037949,0.1816123,326.5864,341.7599,13.79679,0.201293,0.3242607,-0.02134106,0.3983008,-0.5578828,0.4882671,0.309385,-0.2955612,0.2328127,323.8888,343.1465,357.5599,
95.597,0.1072988,-0.01585879,-0.02344156,-0.1550249,-0.08681068,-0.02709192,0.2261701,-0.001494408,0.0388639,354.644,0.6299441,4.870761,0.0190728,0.3329346,-0.006222208,0.7259405,-0.2660236,-0.05188555,0.04223924,-0.2992948,0.1827703,326.1688,341.3561,14.09107,0.2119076,0.3369306,-0.02449609,0.243545,-0.3924041,0.6227624,0.3120967,-0.2910478,0.2325464,323.5748,343.9521,356.9305,
109.739,0.09825065,-0.02252843,-0.03446701,-0.1456816,-0.1252454,-0.03588611,0.2272401,-0.001979113,0.03803778,354.763,0.7700576,4.939107,0.01437611,0.3206015,0.0105567,0.6116956,-0.1121723,-0.007376201,0.04244483,-0.2962184,0.1830449,325.819,341.2267,14.13763,0.2262005,0.3392159,-0.02938215,0.1190095,-0.3034771,0.773272,0.3151521,-0.2869628,0.2312607,323.2504,344.9652,356.1963,
123.567,0.08913903,-0.02937024,-0.04647038,-0.1374393,-0.150978,-0.05266042,0.22823,-0.00261265,0.03704429,354.8632,0.9018083,5.03526,0.01761835,0.2916426,0.03126702,0.4828758,-0.06661648,0.08778135,0.04267661,-0.293631,0.1842048,325.575,341.4079,14.02899,0.2435113,0.3291179,-0.04457898,0.1498362,-0.2373923,0.984759,0.3179915,-0.2837909,0.23053,322.5794,346.1497,355.3666,
