time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.922,0.02558411,0.005509459,-0.004212209,0.04439464,-0.006658858,-0.002117171,0.08941358,-0.1832202,-0.2683103,349.6971,2.642884,359.6896,0.01944415,0.002675009,0.003697563,0.03434472,-0.01767096,-0.001074039,0.04226687,-0.8174445,-0.05649387,355.0873,19.99664,355.1834,0.01136624,0.05114913,-0.05997228,-0.08682862,0.5209968,0.4716819,0.154934,-0.8155224,-0.06964336,2.709374,329.4359,7.077536,
11.763,0.02568307,0.006223439,-0.00235842,0.04333504,-0.006636207,-0.002032791,0.08978721,-0.1831269,-0.2682865,349.6609,2.640997,359.6922,0.02014109,0.001360758,0.00419973,0.01479398,-0.03082341,-0.004997721,0.04256207,-0.8174126,-0.05643244,355.0758,20.0272,355.1866,-6.185006E-05,0.04038106,-0.05134618,0.1878643,0.3176113,0.1677082,0.1545368,-0.8152261,-0.06952772,2.759857,329.6404,7.784948,
24.309,0.02580288,0.007188972,-0.000432177,0.04856233,-0.006078558,-0.003775722,0.09011939,-0.1829907,-0.2682562,349.61,2.647269,359.6986,0.02169058,-0.0002873912,0.005215703,0.004110269,-0.04740585,0.008256169,0.04286762,-0.8174205,-0.05632662,355.0795,20.0759,355.1811,0.004686028,0.03789553,-0.0376499,0.4709341,0.1319905,0.1141919,0.1547173,-0.815165,-0.07003422,2.35107,330.0392,8.523747,
38.415,0.02560738,0.008056703,0.001707409,0.04998157,-0.003323453,0.0007688101,0.09042686,-0.1828382,-0.268182,349.5742,2.650083,359.6761,0.02090798,-0.002101609,0.007441595,-0.004206887,-0.02402993,0.007768636,0.04309006,-0.8174707,-0.05626255,355.0866,20.08348,355.1864,0.006681401,0.03454201,-0.03072263,0.504039,0.07157204,0.1270217,0.1548437,-0.815007,-0.07040262,2.014849,330.202,8.866764,
52.433,0.02534352,0.008100338,0.003704187,0.04457976,0.001389027,-0.00173489,0.0907481,-0.1827619,-0.2680795,349.5512,2.637774,359.6827,0.01990946,-0.003080384,0.008120821,0.01203061,-0.01288246,-0.0004267663,0.04334801,-0.8175505,-0.0561725,355.0766,20.0861,355.1784,0.008095676,0.03820692,-0.02776303,0.4308465,0.0622531,0.1977567,0.1550247,-0.814468,-0.07078092,1.658856,330.2134,8.916403,
65.919,0.02487187,0.007400007,0.005846251,0.0348658,0.004806426,-0.004577264,0.09109315,-0.1827409,-0.267926,349.5411,2.628836,359.6897,0.02156077,-0.004816065,0.009236546,-0.001010495,-0.02381695,0.02699648,0.04379838,-0.8176043,-0.05583589,355.1081,20.11584,355.1549,0.008262295,0.04326019,-0.02936859,0.3230644,0.08513951,0.2786531,0.1554145,-0.8140836,-0.07135949,1.282848,330.125,8.798908,
80.056,0.02403662,0.006389013,0.007860303,0.02566306,0.01075033,-0.0004362318,0.09138882,-0.1826859,-0.2677565,349.5352,2.609641,359.6746,0.02254944,-0.003526569,0.009069612,0.001435237,-0.03001241,0.02926104,0.04399606,-0.8176211,-0.05589831,355.1124,20.15212,355.1335,0.01479261,0.03088761,-0.02288934,0.04052427,0.04505131,0.269222,0.1555974,-0.8143898,-0.07077478,1.32307,330.0898,8.295315,
94.029,0.02323782,0.005183897,0.009615765,0.01262632,0.01249608,-0.004688235,0.09168476,-0.1826241,-0.2676051,349.54,2.597295,359.6877,0.02052402,-0.0002586306,0.006375666,0.02888272,-0.03900436,-0.02850275,0.04419002,-0.8176583,-0.05587165,355.0418,20.17664,355.1525,0.01936962,0.01097896,-0.01450762,-0.2784034,0.06912545,0.2203645,0.1566786,-0.8144448,-0.07124999,1.61555,329.8677,7.587645,
108.335,0.02279991,0.00403973,0.01092857,-0.0001192838,0.01568997,-0.004954829,0.09196264,-0.182566,-0.2674363,349.5613,2.57752,359.6919,0.02324003,-0.001579582,0.005911549,-0.001920165,-0.07458837,-0.01668026,0.04475887,-0.8176197,-0.05538291,355.0483,20.26172,355.1704,0.02530612,-0.02135798,0.002812563,-0.5369722,0.01388217,0.08633216,0.1566881,-0.8161495,-0.06950205,2.203654,329.8011,6.885218,
121.847,0.0225594,0.002727306,0.01220784,-0.007613598,0.01445371,-0.00506902,0.09226221,-0.1826071,-0.2672191,349.5796,2.566615,359.6975,0.02478948,-0.004060133,0.006332675,-0.04688999,-0.07302547,0.01730478,0.04489464,-0.8175927,-0.0555729,355.1167,20.33314,355.1947,0.02985658,-0.0610164,0.0320792,-0.5897999,-0.1855588,-0.2491586,0.1569307,-0.8159763,-0.06904554,3.247017,330.2029,6.753033,
135.919,0.02237573,0.00154234,0.01326199,-0.01080134,0.01550022,-0.005232354,0.09258255,-0.1826496,-0.2669861,349.593,2.552016,359.7014,0.02465126,-0.001513759,0.002795365,-0.01920328,-0.09499273,-0.02103956,0.04506929,-0.8176149,-0.0556737,355.0692,20.41754,355.235,0.04075036,-0.0465369,0.03182955,-0.2002062,-0.2340277,-0.1379823,0.1578344,-0.8164408,-0.06945422,2.975554,330.5617,7.14105,
149.686,0.0219092,0.0007330084,0.01437633,-0.01200859,0.01478914,-0.007154368,0.09285736,-0.1826478,-0.2667501,349.6012,2.541679,359.7144,0.02584456,-0.0008628208,0.001331639,-0.0005864816,-0.1089409,-0.005351118,0.04565523,-0.8175818,-0.05520864,355.0638,20.52293,355.223,0.04816396,-0.01755174,0.02052369,0.128057,-0.2223217,0.0645175,0.1580665,-0.8162536,-0.0695675,2.266901,330.8482,7.5249,
163.442,0.02157749,0.0002938042,0.01501889,-0.01108785,0.0150457,-0.009595964,0.09314898,-0.1825898,-0.2665572,349.6146,2.520837,359.7196,0.02541721,0.0008313913,2.89036E-05,0.01533306,-0.1015395,-0.005800193,0.04572305,-0.817565,-0.05546492,355.0326,20.59245,355.2156,0.0427465,-0.004954653,0.01772428,0.09107874,-0.1366637,0.1232873,0.1586865,-0.8161567,-0.06917156,2.067167,330.8041,7.444068,
177.573,0.02107916,-2.321904E-07,0.01553688,-0.0121497,0.015064,-0.009522757,0.09338808,-0.1825699,-0.2663345,349.6275,2.516524,359.7238,0.02609838,0.003475252,-0.003158245,0.03471152,-0.1334465,-0.0189565,0.04616826,-0.8175054,-0.05538421,354.9466,20.7458,355.2157,0.04606151,-0.006694299,0.02933373,-0.1432527,-0.201979,0.1384667,0.1592244,-0.816401,-0.06801404,2.246459,330.9881,6.89289,
191.504,0.02020503,-0.0003192288,0.01590949,-0.008747756,0.01410898,-0.005991351,0.09366399,-0.1826289,-0.2661004,349.6262,2.498838,359.7237,0.02910084,0.00377843,-0.005707392,0.00994953,-0.1855704,-0.01837763,0.04644424,-0.8174757,-0.05557185,354.9146,20.99321,355.2513,0.04795667,-0.00983213,0.04036318,-0.4079826,-0.2322873,0.1426453,0.1598465,-0.816277,-0.06739219,2.579459,331.1103,6.13486,
205.454,0.01939542,-0.0004659622,0.01570046,-0.006221999,0.01823886,-0.0008989231,0.09392041,-0.182669,-0.2658932,349.6269,2.481418,359.7129,0.03010583,0.003653166,-0.007107335,0.0012121,-0.2119513,-0.02377142,0.04681019,-0.8174444,-0.05545962,354.8801,21.22212,355.2922,0.04668944,-0.006885504,0.04149556,-0.5104822,-0.2024685,0.1782531,0.1604225,-0.8161926,-0.06693113,2.726883,331.1316,5.517195,
219.044,0.01837545,-0.001005741,0.01556914,-0.003173822,0.01746658,-0.003098969,0.0941208,-0.1826708,-0.2657013,349.6235,2.468403,359.7156,0.02903409,0.004134031,-0.007182594,0.02590894,-0.1973526,-0.01005329,0.04704461,-0.8174407,-0.0554932,354.8351,21.34076,355.2559,0.0449742,-0.003084458,0.03802108,-0.4607012,-0.1869496,0.2030609,0.1608339,-0.8162681,-0.06667668,2.710219,331.2118,5.154215,
233.163,0.01715873,-0.000768062,0.0151637,-0.00338402,0.0183728,-0.006843367,0.09430128,-0.1826331,-0.2655337,349.6276,2.44915,359.723,0.02745919,0.004466659,-0.00755373,0.06566499,-0.180525,-0.00501228,0.04721981,-0.817509,-0.05561157,354.7496,21.4517,355.1919,0.039557,-0.006281237,0.03467798,-0.3505174,-0.1887105,0.1456532,0.1609744,-0.8165147,-0.06631263,2.752215,331.35,5.053266,
247.208,0.01569156,0.0002831346,0.01501013,0.004233809,0.02332372,-0.005838185,0.09447867,-0.1825985,-0.2653265,349.601,2.415436,359.7174,0.02458126,-0.0006379746,-0.00496283,0.05134023,-0.1465469,0.008954147,0.04737899,-0.8176288,-0.05544955,354.7547,21.49281,355.1691,0.03587216,-0.01252705,0.0356339,-0.1944735,-0.2596981,0.04237315,0.161019,-0.8167345,-0.06590573,2.837512,331.6888,5.201509,
261.056,0.01429962,0.001714011,0.0149988,0.01496809,0.02786627,-0.006015944,0.09464365,-0.1825188,-0.2650943,349.5735,2.386836,359.7133,0.02049957,-0.003446185,-0.0007082098,0.04833549,-0.09712616,0.03545111,0.04748232,-0.8176349,-0.05541993,354.7721,21.50016,355.1219,0.03305377,-0.01605266,0.03464781,-0.04097377,-0.3254105,-0.02175941,0.1610952,-0.817059,-0.06577195,2.846977,332.1005,5.436337,
275.13,0.01293742,0.002953527,0.01507709,0.02578294,0.02878755,-0.003692325,0.09478998,-0.1824867,-0.2648439,349.5321,2.372204,359.7022,0.01469764,-0.005431275,0.003498265,0.06835493,-0.03001314,0.05945197,0.04759248,-0.8177487,-0.05535098,354.7699,21.48106,355.0409,0.02890367,-0.02009376,0.02957613,0.06395733,-0.3329912,-0.08796175,0.1611198,-0.8173495,-0.06568515,2.886369,332.4203,5.711677,
289.132,0.01148907,0.003809338,0.01461296,0.02811852,0.02586148,0.0006848667,0.09495854,-0.182413,-0.2646914,349.5166,2.364024,359.688,0.01162004,-0.008735307,0.006336446,0.07078902,-0.005621482,0.08710629,0.04776917,-0.8178574,-0.05523121,354.7887,21.48907,354.9202,0.02103773,-0.02479471,0.02232424,0.05772978,-0.2636855,-0.1215351,0.1610918,-0.8177183,-0.06552756,2.998811,332.5226,5.821949,
302.685,0.01025248,0.002774461,0.01386511,0.01512215,0.02361293,-0.00213498,0.09505388,-0.1823698,-0.2645423,349.5418,2.346738,359.6994,0.008367643,-0.006493954,0.006212507,0.08368554,-0.007040331,0.0750089,0.04779492,-0.8179042,-0.05520001,354.7694,21.5039,354.839,0.01498121,-0.02881137,0.01834163,0.02526538,-0.2008929,-0.1405567,0.1610965,-0.8180854,-0.06520612,3.143054,332.5654,5.867324,
316.76,0.008826696,0.001118217,0.01324316,-0.002355815,0.01598774,-0.007205846,0.09514737,-0.1823975,-0.2643836,349.5581,2.336135,359.7141,0.001535646,-0.001498054,0.004857788,0.1054973,0.01073784,0.0217443,0.04776318,-0.8179328,-0.05518453,354.7006,21.48639,354.7974,0.01226693,-0.03152526,0.01743608,0.0360235,-0.1881463,-0.1549688,0.1610488,-0.8185313,-0.06504928,3.248208,332.7017,5.975245,
330.81,0.007608234,-0.0001384842,0.01261825,-0.01408794,0.01381521,-0.006743795,0.09523275,-0.182439,-0.2642319,349.5972,2.330394,359.7154,-0.003803307,0.001968234,0.003544918,0.1016797,0.01146564,-0.02236827,0.04770355,-0.8179467,-0.05516806,354.6289,21.47351,354.7778,0.00639831,-0.03275297,0.01372739,0.1091259,-0.1669755,-0.1829428,0.16076,-0.8188974,-0.0651227,3.289837,332.8386,6.248091,
344.662,0.0064778,-0.001287819,0.0117105,-0.02370645,0.01259269,-0.006800701,0.09529793,-0.1824817,-0.2641058,349.6263,2.313795,359.7296,-0.009679683,0.004747037,0.002395668,0.08656427,0.008431926,-0.07212759,0.0475316,-0.8179637,-0.05515016,354.5046,21.4445,354.7888,-0.001526499,-0.02701472,0.00739078,0.1770801,-0.1226065,-0.1838479,0.1604441,-0.8189704,-0.06531638,3.268733,332.9111,6.541648,
358.752,0.005308352,-0.001948805,0.01067029,-0.03306636,0.01183613,-0.002488712,0.09533191,-0.1824895,-0.2640162,349.6743,2.307978,359.7215,-0.01068771,0.00182087,0.002907245,0.04010236,-0.007824557,-0.05462614,0.04741974,-0.8180017,-0.05510551,354.4797,21.45384,354.8083,-0.009559857,-0.01424412,-0.003229827,0.2144792,-0.02929786,-0.1038696,0.1602805,-0.818921,-0.06573321,3.087834,332.8143,6.697093,
372.715,0.004234402,-0.002374812,0.009390284,-0.03823655,0.007657798,0.001705164,0.09535345,-0.1825017,-0.2639463,349.7008,2.317035,359.7177,-0.01137559,-0.003727949,0.005779246,-0.003155747,0.01126854,-0.01742471,0.04732024,-0.8180445,-0.05505843,354.4933,21.44282,354.8175,-0.01910295,-0.006915707,-0.01661045,0.1557733,0.1325251,-0.01985186,0.1601252,-0.8190931,-0.0660422,2.957206,332.4748,6.670828,
386.586,0.003352463,-0.002866252,0.00804891,-0.03822687,0.004676537,0.002830976,0.09539539,-0.1825755,-0.263865,349.7365,2.318964,359.7109,-0.01222366,-0.009100039,0.00907562,-0.04401404,0.04045524,0.0170441,0.04714629,-0.8181764,-0.05491212,354.5486,21.40284,354.8316,-0.02539364,-0.01113784,-0.02318626,0.04780114,0.2293007,-0.01480025,0.1598405,-0.8195561,-0.06620229,2.987449,332.0734,6.624997,
400.659,0.002102751,-0.003334244,0.006141476,-0.038281,0.00131922,0.002954087,0.09541044,-0.1826586,-0.2638245,349.7671,2.320702,359.7176,-0.0126429,-0.01329049,0.01149965,-0.06456903,0.07226107,0.05680853,0.04697154,-0.81833,-0.05471575,354.6783,21.32368,354.8222,-0.02716528,-0.02350358,-0.02102801,-0.02671096,0.2180081,-0.1033466,0.1595173,-0.8201069,-0.06621625,3.251052,331.8954,6.646451,
414.638,0.0007386237,-0.003561954,0.004496609,-0.03396835,-0.0003739445,0.004452316,0.09538424,-0.1827132,-0.2638135,349.7845,2.325438,359.7111,-0.01376541,-0.01063499,0.01019862,-0.02833422,0.08943172,0.04500071,0.04684081,-0.8184013,-0.05467641,354.7071,21.24767,354.7927,-0.02631364,-0.03822129,-0.01400303,-0.02898537,0.1420984,-0.2265362,0.1591087,-0.8207221,-0.0661485,3.594337,331.9148,6.838647,
428.657,-0.0007344959,-0.003574175,0.002224707,-0.03428187,-0.0001707331,-0.001284636,0.09531644,-0.1827378,-0.2638695,349.8129,2.325684,359.7247,-0.01450277,-0.006988405,0.007638919,0.003724801,0.08860185,0.01634165,0.04672714,-0.8184554,-0.05464699,354.6897,21.19254,354.781,-0.02414005,-0.04202297,-0.008326722,0.02787902,0.04629128,-0.3165601,0.1586475,-0.8207853,-0.06631785,3.884608,332.0883,7.159368,
442.14,-0.002337344,-0.003038604,0.0003917384,-0.03328137,-0.0005493315,-0.002355087,0.09522921,-0.1827576,-0.2639277,349.84,2.318668,359.7351,-0.01367126,-0.002389915,0.00381272,0.03329692,0.06212567,-0.0082498,0.04662431,-0.8184764,-0.05462988,354.6515,21.16798,354.7686,-0.02935739,-0.02330379,-0.01634678,0.05951982,0.1006207,-0.2218558,0.1582797,-0.8202854,-0.06705548,3.833157,331.9564,7.284095,
456.175,-0.00372486,-0.002300445,-0.001085813,-0.03040527,-0.001380085,-0.007917267,0.09514734,-0.1828023,-0.263978,349.8537,2.310795,359.7538,-0.01201732,-0.0008461189,0.001107359,0.02822825,0.03080248,-0.01316455,0.04653531,-0.8184966,-0.05462142,354.6341,21.15893,354.7643,-0.03660145,-0.0005454921,-0.03023632,0.0021803,0.2691456,-0.01575425,0.1581527,-0.8200421,-0.06749862,3.558785,331.4247,7.071764,
470.167,-0.00516458,-0.001165508,-0.002352998,-0.01960515,-0.0004558679,-0.005533302,0.09504327,-0.1828197,-0.2640383,349.8496,2.313507,359.7458,-0.01021501,-0.004409159,0.0009668962,-0.02178591,0.01101358,0.005558587,0.04643843,-0.8185374,-0.05460298,354.655,21.15929,354.7787,-0.03693822,0.01201601,-0.0364489,-0.02910594,0.3288656,0.1044623,0.1579642,-0.8199914,-0.06784807,3.319285,331.0317,6.882362,
484.034,-0.006176858,-0.0001111842,-0.003714436,-0.003867812,-0.0007424104,-0.009830809,0.09491634,-0.1827627,-0.2641473,349.8327,2.310624,359.7607,-0.009122435,-0.01027008,0.002938045,-0.07023954,0.01254184,0.04332594,0.04628342,-0.8186606,-0.05453574,354.7556,21.15583,354.7945,-0.03558363,0.01266839,-0.03731407,-0.01987712,0.3194017,0.1106401,0.1576447,-0.8200502,-0.06828834,3.212849,330.7935,6.850805,
498.084,-0.007378694,0.0008380075,-0.005144966,0.002444258,-0.002181995,-0.01083389,0.09476313,-0.1826868,-0.2642817,349.8187,2.312266,359.7701,-0.008199526,-0.01305796,0.003521846,-0.1039331,0.01566048,0.06611034,0.04614588,-0.8187751,-0.05449168,354.9075,21.14975,354.8161,-0.0332989,0.004288184,-0.03652926,-0.01293887,0.2999454,0.07031517,0.1574289,-0.820313,-0.06862025,3.204467,330.5862,6.880483,
512.046,-0.008460211,0.0009962894,-0.006394446,0.009691564,-0.003344185,-0.01426969,0.09460729,-0.1826475,-0.2644157,349.7975,2.311422,359.7868,-0.008243002,-0.01035672,0.000263262,-0.1043441,0.00885631,0.03780658,0.04604285,-0.8188379,-0.05453543,354.9687,21.14682,354.8605,-0.03043962,-0.006401006,-0.03319309,-0.03074221,0.2552375,0.02529417,0.1571912,-0.8207327,-0.06885554,3.268505,330.4503,6.876511,
525.549,-0.009684174,0.001405617,-0.007716876,0.008748635,-0.001622492,-0.01257583,0.09444508,-0.182625,-0.2645447,349.7918,2.306598,359.7943,-0.008584421,-0.00467102,-0.005768032,-0.06490596,-0.01602217,-0.00948571,0.04593294,-0.8188692,-0.05461521,354.9596,21.16231,354.8999,-0.02608924,-0.01994179,-0.02686839,-0.04815475,0.1699063,-0.06623097,0.1569749,-0.8210551,-0.06898852,3.488307,330.469,6.925536,
539.73,-0.01091113,0.001651946,-0.008914692,0.01448845,-0.0002013283,-0.005514286,0.0942663,-0.1826054,-0.2646842,349.7707,2.306864,359.7856,-0.008105469,0.0001395586,-0.01189873,-0.008821101,-0.05117806,-0.0329345,0.04578495,-0.818893,-0.05479484,354.9182,21.20911,354.9217,-0.02258993,-0.02271558,-0.02339785,0.01062011,0.1141932,-0.102644,0.1568285,-0.8211872,-0.06926791,3.548513,330.5212,7.074964,
553.655,-0.0118814,0.002209835,-0.009855811,0.01655211,-0.0005852231,-0.006635754,0.09406045,-0.1825224,-0.2648635,349.753,2.306215,359.7903,-0.003421161,0.002650046,-0.01603901,0.03070859,-0.119556,-0.006098569,0.0456294,-0.8188582,-0.05508116,354.8569,21.37598,354.8908,-0.0211317,-0.01531039,-0.02450359,0.09769612,0.1289401,-0.08264198,0.1566671,-0.8211355,-0.06973349,3.468585,330.431,7.301838,
