time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.972,-0.01269309,-0.002925967,-0.006306863,-0.02541552,0.001597866,-0.01854021,0.09247753,0.1257855,-0.1774333,355.613,2.28906,0.6919937,-0.02362183,0.001484034,0.004969524,-0.04693605,0.05457354,-0.01174592,0.04636184,-0.4988758,-0.0445408,354.9496,36.43261,7.071502,0.004708505,-0.00171337,-0.0141799,-0.2752686,0.03641166,0.08210969,0.1721277,-0.5083118,-0.06628325,4.580248,323.8869,6.50105,
11.843,-0.01066145,-0.0017995,-0.006948083,-0.01695517,0.002801991,-0.01923643,0.09239757,0.1257938,-0.1775479,355.6111,2.286062,0.704536,-0.01729249,-0.00102167,-0.001979331,0.01165052,0.03857336,-0.001151766,0.04625757,-0.4988284,-0.04459533,354.9454,36.43075,7.031109,0.007979118,-0.01196432,-0.002803752,-0.1264522,-0.04339463,-0.05807973,0.172068,-0.5081604,-0.06619228,4.738196,324.0541,6.782751,
24.368,-0.00898457,-0.0007468422,-0.007656076,-0.005333123,0.005120303,-0.02029633,0.09234273,0.1258144,-0.1776927,355.5943,2.273822,0.7185046,-0.01382749,-0.002623634,-0.006577807,0.04665997,0.04124793,0.003281086,0.04612032,-0.4988485,-0.0447217,354.9351,36.40898,6.976777,0.008527475,-0.01031013,-0.001972358,0.06926572,-0.03321357,-0.06490043,0.1721096,-0.508168,-0.06632998,4.724207,324.1105,6.960959,
38.162,-0.007562832,-1.425023E-05,-0.008317705,0.00221628,0.005560935,-0.01866024,0.0922991,0.1258376,-0.1778443,355.5889,2.266704,0.7305229,-0.01093015,-0.003479536,-0.01034023,0.04757809,0.02338183,-0.005595394,0.04604037,-0.4988683,-0.04484053,354.9182,36.40889,6.942461,0.006771876,-0.01070512,-0.003513969,0.1419586,0.01052488,-0.0967254,0.1721627,-0.5082541,-0.06643073,4.780227,324.1263,7.206973,
52.287,-0.005885132,0.0004272544,-0.009781947,-0.004000245,0.004679456,-0.01599875,0.09223911,0.1258636,-0.1780066,355.6031,2.261438,0.7382383,-0.008513886,-0.005008772,-0.01304405,0.008876665,0.01066208,-0.008778634,0.04591694,-0.4989061,-0.04503366,354.9161,36.40181,6.947825,0.00731176,-0.01252413,-0.0003116101,0.1805228,-0.00178719,-0.1367862,0.1721838,-0.508405,-0.06604812,4.886554,324.1898,7.497395,
65.905,-0.003853675,0.000299591,-0.01148743,-0.01007717,0.0007855701,-0.01180732,0.09221816,0.1258685,-0.1781993,355.6216,2.265679,0.7435905,-0.005967024,-0.007089719,-0.01422075,-0.03791128,-0.01300258,0.001523837,0.04592631,-0.4989754,-0.04517712,354.9422,36.40845,6.993122,0.01091565,-0.0113907,0.0071285,0.1917589,-0.06798876,-0.1620973,0.1725904,-0.5081857,-0.06629884,5.007923,324.3876,7.725426,
79.855,-0.001846988,0.0003549563,-0.01332558,-0.01383094,-0.00593386,-0.005166935,0.0922603,0.1258805,-0.1784453,355.6397,2.28223,0.7388614,-0.004406051,-0.007828809,-0.01460842,-0.05453509,-0.009672199,-0.001563055,0.04593264,-0.4990502,-0.04535899,354.9646,36.4028,7.041862,0.01420229,-0.01128217,0.01288281,0.1549604,-0.1194274,-0.182456,0.1728478,-0.5081606,-0.066163,5.171663,324.5977,7.840747,
93.931,0.0001281581,0.0003234074,-0.01513389,-0.01380022,-0.0147866,-0.007042313,0.09234655,0.1258904,-0.1787276,355.6509,2.31296,0.7491041,0.0002870844,-0.009804386,-0.01452202,-0.02413389,0.002140568,0.04573966,0.0459726,-0.4990928,-0.04559616,355.0185,36.39502,7.029202,0.01828554,-0.01157597,0.0171523,0.06806772,-0.1614746,-0.1890607,0.172656,-0.5083947,-0.06528497,5.379169,324.7926,7.788291,
108.241,0.001733453,0.0005491219,-0.01699428,-0.01270871,-0.01581885,-0.006950985,0.09243339,0.1259117,-0.1790271,355.6539,2.320727,0.7577551,0.00413572,-0.008936105,-0.01844567,0.02980137,0.0007996411,0.01892876,0.04610419,-0.4992182,-0.04587679,355.0094,36.40401,6.982682,0.02081567,-0.01515712,0.01819954,-0.03365728,-0.1597578,-0.1946167,0.1728927,-0.5089595,-0.0648735,5.625914,324.8868,7.639435,
121.397,0.002432762,0.00111775,-0.01827648,-0.004878103,-0.01359377,-0.0002252293,0.09247822,0.1259555,-0.1793048,355.6485,2.331607,0.7466956,0.01042669,-0.008861237,-0.02065841,0.08077195,-0.01677463,0.05861523,0.0464359,-0.4992299,-0.04628982,355.0595,36.46096,6.841391,0.01590025,-0.0171532,0.01712072,-0.1073167,-0.1244349,-0.2362782,0.1727141,-0.5077893,-0.06496206,5.968959,324.9066,7.543813,
