time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.386,-0.002102523,0.003089006,0.006102464,-0.01138489,0.04481631,-0.03558488,0.1210817,-0.0230512,-0.09023666,2.772647,359.8501,5.463006,-0.009923373,0.1103779,-0.061661,1.077973,1.102215,0.1659223,0.05472745,-0.1689099,0.4043831,324.0675,7.205254,10.49304,0.001943438,-0.005469753,0.06495045,-0.3862904,0.1578588,-0.1531142,0.1478005,-0.1618478,0.4088922,328.1579,347.6223,343.3975,
12.892,-0.002532844,0.003906581,0.005798614,-0.02739601,0.03495878,-0.05179244,0.1210226,-0.02298814,-0.09014869,2.837654,359.8371,5.530477,-0.05343879,0.1333771,-0.07195217,1.324781,1.425512,0.03607536,0.05266293,-0.168084,0.4041887,322.512,6.996325,8.936721,0.01788977,-0.004834411,0.07430471,-0.5018314,-0.7522439,-0.3091969,0.1486111,-0.1612254,0.4092895,328.7168,348.4966,345.0764,
26.169,-0.003479055,0.006759463,0.008402614,-0.01943868,0.02874247,-0.06085184,0.1209399,-0.02281427,-0.08988118,2.822046,359.8291,5.585819,-0.1250682,0.1218181,-0.03996513,1.19323,1.327412,0.05135734,0.04821843,-0.1676352,0.405569,321.8,7.059891,7.939271,0.07997943,0.003331971,0.05985548,-0.3184843,-0.8476846,-0.02157097,0.1519264,-0.1617182,0.409867,328.3704,349.3136,345.2937,
40.158,-0.004409246,0.0118364,0.01250214,0.009620666,0.02534621,-0.06923313,0.1208432,-0.02250659,-0.08951283,2.735207,359.8232,5.654105,-0.1933731,0.09429891,0.02112479,0.7522966,1.165214,0.2715867,0.04294846,-0.1666548,0.4080866,322.1436,7.444796,6.913084,0.1441997,0.01609962,0.04204251,0.01714072,-0.6251258,0.0553774,0.15656,-0.1617162,0.4105816,327.7869,349.2102,345.4521,
53.92,-0.004946648,0.01396578,0.01742504,0.04890738,0.0226011,-0.09335768,0.1207267,-0.02226281,-0.08893585,2.640194,359.8368,5.786346,-0.270072,0.0743101,0.08017413,0.3147422,0.9983255,0.3744683,0.03622072,-0.1654441,0.4106959,322.8107,7.596212,6.233321,0.219843,0.03385937,0.02814061,0.2773045,-0.5470253,0.1433763,0.1623907,-0.1611698,0.4112362,327.0555,349.2002,345.7088,
67.534,-0.005680738,0.01346689,0.02064274,0.04041717,0.01027784,-0.09476828,0.1205932,-0.02221501,-0.08857179,2.656323,359.8655,5.844474,-0.3871264,0.05580822,0.1454224,-0.2406953,0.6541634,0.3455147,0.02681716,-0.1642252,0.4137374,324.0305,7.372314,6.489058,0.3607257,0.05726855,0.03324844,0.3342011,-0.4459021,0.4008516,0.1715783,-0.1601394,0.412971,326.3306,349.8059,345.3038,
81.612,-0.006520224,0.009688804,0.0240013,0.009379586,-0.008934652,-0.09408224,0.1204611,-0.02220309,-0.08816266,2.733253,359.9028,5.907116,-0.5340993,0.05336605,0.1783688,-0.4816145,0.4419403,0.3000032,0.01451467,-0.1630902,0.4160182,324.887,7.241821,6.642612,0.4712517,0.06146776,0.06534803,0.1942059,-0.3361249,0.3979118,0.1809225,-0.1595554,0.4156458,326.2278,350.2065,345.0168,
95.474,-0.006967199,0.005754624,0.02736124,-0.03791102,-0.02635531,-0.1009932,0.1203692,-0.02223903,-0.08762646,2.854871,359.947,6.012246,-0.6853718,0.072081,0.1725941,-0.4086879,0.8236838,0.1369362,0.0009230794,-0.1609852,0.4176664,325.033,6.496971,5.919806,0.5900737,0.05574323,0.1345508,-0.1730662,-0.5679491,0.1161793,0.1926635,-0.1584307,0.4198721,327.0403,350.606,345.6641,
109.469,-0.00723604,0.003708723,0.03160451,-0.07807654,-0.04132196,-0.1085664,0.1202372,-0.02215713,-0.0869391,2.986787,0.004808729,6.109066,-0.8502148,0.1069049,0.134784,-0.01758178,1.461823,-0.1521505,-0.01492033,-0.1597552,0.4174629,324.2442,5.141829,4.691015,0.7340582,0.05043648,0.2032434,-0.5954338,-1.274675,-0.002358451,0.2064979,-0.156769,0.4242736,328.0542,352.0314,346.9499,
123.057,-0.00819249,0.004333604,0.03816153,-0.08626819,-0.04725506,-0.0911251,0.12006,-0.02197534,-0.08613181,3.033308,0.03893882,6.123192,-1.004782,0.1318228,0.0958409,0.3550579,2.037125,-0.3397651,-0.03206522,-0.1577774,0.4186026,323.2935,3.722253,3.103602,0.9264093,0.04821561,0.2324848,-0.8156515,-2.043771,0.3846313,0.2238266,-0.1570756,0.4264789,328.4231,354.872,347.7396,
