time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.318,-0.08808789,0.01558286,-0.02804071,0.08227535,1.186399,-0.1727622,0.2294023,-0.005475283,0.07126427,357.8396,352.4211,4.454712,-0.7275878,0.002188754,-0.3207077,0.2836035,1.410935,-1.124231,0.01609814,-0.3795764,0.2786787,328.7857,346.7578,357.3253,-0.5563064,0.05678583,0.1167952,0.4148879,1.111124,-0.5966681,0.3076122,-0.4146098,0.364886,329.8885,355.2319,355.1519,
11.908,-0.09264079,0.01732441,-0.03186642,0.1163932,1.299093,-0.1470888,0.2279866,-0.005188346,0.070678,357.6396,351.217,4.509191,-0.7404268,0.01124956,-0.3707512,0.3554831,1.650648,-1.080462,0.007066077,-0.3792525,0.2725354,328.7395,344.9191,357.1581,-0.6033617,0.06223402,0.1107483,0.4731401,1.283818,-0.6170375,0.299006,-0.4138749,0.3667266,329.609,353.8589,354.9882,
24.801,-0.09685897,0.01903214,-0.03634782,0.1271232,1.403019,-0.1153184,0.2265408,-0.004890919,0.06999707,357.452,349.9369,4.52627,-0.7429564,0.01572271,-0.4085244,0.3860745,1.792613,-1.036208,-0.001799748,-0.3789411,0.2662341,328.7418,343.1616,356.9627,-0.6451077,0.06221079,0.1140558,0.4350349,1.383082,-0.6413655,0.2899461,-0.4131298,0.3687564,329.5417,352.5182,354.8498,
38.909,-0.1010424,0.01925886,-0.04113108,0.1355796,1.513028,-0.07847428,0.2250251,-0.004669607,0.06927729,357.235,348.5632,4.519328,-0.7397466,0.02164943,-0.4538804,0.4242772,1.866687,-0.9781954,-0.0106362,-0.378561,0.2589659,328.6985,341.4743,356.7498,-0.6810057,0.05880008,0.1171703,0.3890656,1.435572,-0.6655349,0.2803918,-0.4123646,0.3706739,329.5419,351.198,354.7442,
52.815,-0.1050029,0.01912849,-0.04627361,0.1257765,1.619404,-0.04838353,0.2234686,-0.004485488,0.06852531,357.0328,347.1062,4.490802,-0.7327316,0.02739696,-0.4998863,0.4656054,1.844098,-0.9668103,-0.01927154,-0.3778463,0.2516057,328.6906,339.8026,356.7417,-0.7306538,0.05459156,0.1166368,0.36715,1.594689,-0.7257874,0.2701355,-0.4119092,0.3720087,329.5979,349.5818,354.5581,
66.554,-0.1085279,0.01848008,-0.05126064,0.1080724,1.714603,-0.02667946,0.2218553,-0.004264176,0.06765509,356.8575,345.5902,4.446615,-0.716991,0.03388626,-0.5458697,0.4894485,1.833055,-0.9138179,-0.02742851,-0.3775492,0.2426951,328.6352,338.2318,356.631,-0.7815357,0.05292837,0.1025928,0.4275051,1.742125,-0.7890029,0.2590801,-0.4110946,0.3737349,329.5351,347.791,354.4307,
80.354,-0.1115674,0.01655638,-0.05724924,0.08511619,1.820291,-0.02447548,0.2202868,-0.004123867,0.06669497,356.7123,343.9764,4.436809,-0.6935439,0.03993554,-0.5943163,0.5430367,1.849405,-0.7853046,-0.03526776,-0.37725,0.2335715,328.3739,336.7762,356.3637,-0.8328432,0.05476716,0.07960473,0.5268858,1.925273,-0.8604412,0.2476566,-0.4103914,0.3741075,329.3938,345.7517,354.3022,
94.353,-0.1135489,0.01425783,-0.06223855,0.06533891,1.896018,-0.03972558,0.2186731,-0.004065156,0.06568933,356.5806,342.3469,4.445413,-0.667222,0.04550643,-0.6402488,0.556927,1.925219,-0.6638424,-0.04278731,-0.3763077,0.2247353,328.1049,335.3362,355.8878,-0.8791311,0.05651893,0.0527751,0.6613566,2.050521,-0.8911965,0.2357032,-0.4100263,0.3749871,329.1211,343.6632,354.2093,
108.529,-0.1158367,0.01060589,-0.0685396,0.04287382,1.982119,-0.06305443,0.2170196,-0.004018188,0.0645678,356.4862,340.6261,4.461054,-0.6412188,0.05043233,-0.684494,0.562673,1.966589,-0.5817907,-0.0499259,-0.375955,0.2139916,327.833,333.9229,355.4137,-0.9177339,0.05353705,0.03937993,0.5909472,2.007165,-0.9126648,0.2229728,-0.4088367,0.3760755,329.2562,341.9449,354.1321,
122.366,-0.1177396,0.007418406,-0.074332,0.01728521,2.051397,-0.08766079,0.2153263,-0.003983617,0.06339407,356.4184,338.8834,4.460688,-0.6188892,0.05365451,-0.7286185,0.6088632,2.001585,-0.5331182,-0.05688047,-0.3756377,0.2031734,327.5116,332.404,355.0329,-0.9502122,0.05530726,0.01718837,0.5796791,1.926014,-0.8469535,0.210159,-0.4084655,0.3748757,329.2031,340.4673,353.9966,
136.227,-0.1192789,0.004303021,-0.07919242,-0.002911929,2.111108,-0.1090576,0.2136478,-0.004016817,0.06216168,356.3577,337.0961,4.472864,-0.6013231,0.0522131,-0.7646508,0.590402,2.044011,-0.5693793,-0.06386448,-0.3746039,0.1930943,327.4483,330.8217,354.6151,-0.9991565,0.05408641,-0.01895134,0.5722237,2.009942,-0.9001729,0.195999,-0.407469,0.3742491,329.3192,338.5846,353.8404,
149.994,-0.1206883,0.0007385002,-0.08356267,-0.01615877,2.164989,-0.1361833,0.2119432,-0.004116058,0.06098604,356.317,335.2774,4.497098,-0.5869427,0.05043969,-0.8004489,0.6011754,2.109655,-0.6301167,-0.07032559,-0.3742451,0.181202,327.4281,329.0927,354.2244,-1.048179,0.05421048,-0.07008678,0.70865,2.179603,-0.9734435,0.1816177,-0.4069916,0.3726715,329.2599,336.2575,353.799,
163.784,-0.1219448,-0.002211161,-0.08724369,-0.03291056,2.206732,-0.1630268,0.2102123,-0.00425458,0.05972409,356.3118,333.4481,4.516048,-0.5685745,0.05186015,-0.8423893,0.6845053,2.193459,-0.6027824,-0.07647327,-0.3738169,0.1691162,327.1532,327.286,353.8354,-1.098262,0.05219832,-0.1250901,0.8271185,2.238292,-1.134321,0.1668362,-0.4060172,0.3704059,329.4421,333.726,354.1184,
177.931,-0.1228566,-0.005910224,-0.09052603,-0.04288287,2.240709,-0.1933346,0.2084815,-0.004432917,0.05839729,356.3329,331.5978,4.548127,-0.5469845,0.05247327,-0.8879159,0.7671216,2.332075,-0.5935072,-0.08235482,-0.373367,0.1566268,326.8737,325.3176,353.3708,-1.127712,0.05451275,-0.191995,1.014985,2.321387,-1.109095,0.15245,-0.4053335,0.3665055,329.249,331.2033,354.3303,
191.346,-0.1235377,-0.008934374,-0.09335622,-0.05335186,2.255699,-0.2267966,0.2067477,-0.004587829,0.05700779,356.3969,329.771,4.596147,-0.5271364,0.0502812,-0.926222,0.838852,2.455434,-0.584573,-0.08799018,-0.3730043,0.1439237,326.5876,323.295,352.8725,-1.148401,0.05769039,-0.2638506,1.193225,2.375976,-1.040645,0.1375826,-0.4047112,0.3621854,328.9285,328.6462,354.5959,
205.513,-0.1237001,-0.01188684,-0.09511144,-0.04973262,2.250343,-0.2510335,0.205011,-0.004888713,0.05568695,356.4187,327.9846,4.650456,-0.5107749,0.04625722,-0.9571159,0.8993,2.530445,-0.6046371,-0.09342032,-0.3726384,0.131017,326.4005,321.2278,352.4091,-1.160548,0.05649154,-0.3220675,1.268247,2.396021,-0.9957495,0.1227999,-0.4040911,0.3572209,328.7456,326.1913,354.8025,
219.134,-0.1225526,-0.01396601,-0.09613454,-0.04610426,2.227546,-0.2690962,0.203344,-0.005123377,0.05438733,356.4789,326.2484,4.694641,-0.4912366,0.04109521,-0.9927056,0.9807981,2.565238,-0.6428795,-0.09844109,-0.3723299,0.1174383,326.2942,319.0577,352.0634,-1.17389,0.05059003,-0.3952599,1.287811,2.477097,-0.9974115,0.1076465,-0.4036044,0.350901,328.7222,323.6603,354.8536,
233.074,-0.1212646,-0.01491332,-0.09618085,-0.03513613,2.174283,-0.2834959,0.2016559,-0.005325437,0.05312419,356.5359,324.6073,4.770854,-0.4663195,0.03854589,-1.030676,1.076519,2.548721,-0.6401255,-0.1029432,-0.3720271,0.1031869,326.1531,316.8741,351.8589,-1.178327,0.04334184,-0.4522414,1.293885,2.548167,-1.007226,0.09292086,-0.403197,0.3442158,328.7882,321.1277,354.8395,
247.066,-0.1195109,-0.01382711,-0.09517224,-0.01278517,2.11403,-0.2783616,0.2000036,-0.005383372,0.05191064,356.5512,323.0152,4.850633,-0.4391154,0.03861942,-1.072983,1.220225,2.549613,-0.6160808,-0.1070557,-0.3716683,0.08859945,325.9636,314.4883,351.8273,-1.17919,0.03386382,-0.5224346,1.315773,2.657785,-1.02383,0.07813768,-0.4030021,0.3362298,328.905,318.4776,354.7387,
260.744,-0.1188496,-0.01046303,-0.09445508,-8.651987E-05,2.043614,-0.250926,0.1983222,-0.00530678,0.05063796,356.5286,321.5041,4.884511,-0.4076658,0.03687439,-1.113585,1.348354,2.540617,-0.5835783,-0.1105473,-0.3715006,0.07354411,325.7909,312.04,351.873,-1.174395,0.02062589,-0.6101322,1.414122,2.777684,-1.020684,0.06370481,-0.4032114,0.3266037,328.986,315.5972,354.7427,
